AR And
DX And
EG And
FN And
FO And
LS And
PQ And
RX And
Z And
DH Aql
FO Aql
KX Aql
UU Aql
V0603 Aql
V0725 Aql
V1413 Aql
VY Aqr
VZ Aqr
SV Ari
TT Ari
SS Aur
TT Boo
UZ Boo
AF Cam
Z Cam
AM Cas
GX Cas
HT Cas
KU Cas
V0630 Cas
WW Cet
AL Com
T CrB
TX CVn
BF Cyg
CH Cyg
EM Cyg
EY Cyg
Q Cyg
SS Cyg
V0404 Cyg
V0476 Cyg
V0503 Cyg
V0516 Cyg
V0542 Cyg
V0630 Cyg
V0632 Cyg
V0751 Cyg
V0795 Cyg
V0811 Cyg
V1016 Cyg
V1028 Cyg
V1251 Cyg
V1454 Cyg
V1500 Cyg
V1668 Cyg
V1819 Cyg
HR Del
AB Dra
AG Dra
DO Dra
AH Her
AM Her
CH Her
DQ Her
V0443 Her
V0446 Her
V0533 Her
YY Her
CP Lac
AY Lyr
CY Lyr
DM Lyr
LL Lyr
MV Lyr
V0344 Lyr
RS Oph
V0426 Oph
AG Peg
EF Peg
IP Peg
RU Peg
AX Per
FO Per
GK Per
KT Per
TZ Per
UV Per
UW Per
TY Psc
U Sco
LX Ser
MU Ser
UZ Ser
AW Sge
HM Sge
RZ Sge
WZ Sge
FN Sgr
BC UMa
BZ UMa
CH UMa
CI UMa
CY UMa
DI UMa
SU UMa
SW UMa
SS UMi
HV Vir
LV Vul
NQ Vul
PU Vul
PW Vul
QU Vul
VW Vul
BM And
FG Aql
FH Aql
V0536 Aql
RW Aur
UY Aur
DG Aur
GM Aur
GZ Aur
HO Aur
PS Aur
V0347 Aur
V0372 Aur
VX Cas
MQ Cas
NX Cas
V0519 Cas
V0545 Cas
V0594 Cas
V0628 Cas
V0642 Cas
NSV 87
NSV 93
SV Cep
YZ Cep
BG Cep
BH Cep
BO Cep
BS Cep
DI Cep
DZ Cep
EH Cep
GM Cep
LO Cep
V0373 Cep
V0488 Cep
V0730 Cep
V0517 Cyg
V0561 Cyg
V1057 Cyg
V1331 Cyg
V1393 Cyg
